0|1
7.0|Lu J, Bergert M, Walther A, Suter B. Double-sieving-defective aminoacyl-tRNA synthetase causes protein mistranslation and affects cellular physiology and development. Nat Commun. 2014:5:5650.  [PubMed]  [DOI]
